STATE/Uts,Note of States /Uts,2000,Note of 2000,2001,2002
STATE,Andhra Pradesh,3910,NA,4038,4038
STATE,Arunachal Pradesh,352,NA,392,392
STATE,Assam ,2706,NA,2836,2836
STATE,Bihar*,3539,NA,3301,3502
STATE,Chhattisgarh,NA,*,1830,1774
STATE,Goa ,269,NA,269,269
STATE,Gujarat,2241,NA,2461,2461
STATE,Haryana ,1361,NA,1361,1361
STATE,Himachal Pradesh,1188,NA,1188,1188
STATE,Jammu & Kashmir,738,NA,823,823
STATE,Jharkhand,NA,*,1614,1413
STATE,Karnataka,3394,NA,3570,3570
STATE,Kerala,1230,NA,1440,1440
STATE,Madhya Pradesh*,5174,NA,4608,4664
STATE,Maharashtra,3626,NA,3626,3626
STATE,Manipur ,954,NA,954,954
STATE,Meghalaya,717,NA,717,717
STATE,Mizoram ,857,NA,927,927
STATE,Nagaland ,369,NA,369,369
STATE,Orissa,2863,NA,3301,3301
STATE,Punjab,1328,NA,1533,1553
STATE,Rajasthan,4381,NA,4481,4597
STATE,Sikkim,62,NA,62,62
STATE,Tamil Nadu,3681,NA,3758,3758
STATE,Tripura,400,NA,400,400
STATE,Uttaranchal,NA,*,875,1075
STATE,Uttar Pradesh*,4570,NA,4903,4942
STATE,West Bengal,1951,NA,1951,1951
Uts,A & N Islands,NA,NA,NA,NA
Uts,Chandigarh,24,NA,24,24
Uts,D & N Haveli,NA,NA,NA,NA
Uts,Daman & Diu,NA,NA,NA,NA
Uts,Delhi,72,NA,72,72
Uts,Lakshadweep,NA,NA,NA,NA
Uts,Pondicherry,53,NA,53,53
INDIA,INDIA,52010,NA,57737,58112
